date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:34	32174/32174	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:32:36%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/gallery1.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/gallery1.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:34	29163/29163	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:32:36%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/gallery2.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/gallery2.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:34	29233/29233	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:32:37%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/gallery3.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/gallery3.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:34	32655/32655	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:32:20%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/events.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/events.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:35	33903/33903	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:32:21%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/events1.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/events1.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:35	33655/33655	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:32:19%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/events-detail.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/events-detail.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:35	29445/29445	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:19%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/contact.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/contact.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:35	29294/29294	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:20%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/contact1.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/contact1.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:36	25509/25509	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:12%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/404.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/404.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:36	3358/3358	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:11%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/404-1.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/404-1.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:36	4379/4379	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:18%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/comingsoon.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/comingsoon.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:36	4398/4398	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:24:18%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/comingsoon-1.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/comingsoon-1.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
